model,regime,ece,bin_lo,bin_hi,count,mean_confidence,mean_accuracy
identity,real_only,1.0,0.0,0.1,0,0.0,0.0
identity,real_only,1.0,0.1,0.2,0,0.0,0.0
identity,real_only,1.0,0.2,0.3,0,0.0,0.0
identity,real_only,1.0,0.3,0.4,0,0.0,0.0
identity,real_only,1.0,0.4,0.5,0,0.0,0.0
identity,real_only,1.0,0.5,0.6,0,0.0,0.0
identity,real_only,1.0,0.6,0.7,0,0.0,0.0
identity,real_only,1.0,0.7,0.8,0,0.0,0.0
identity,real_only,1.0,0.8,0.9,0,0.0,0.0
identity,real_only,1.0,0.9,1.0,1432,1.0,0.0
identity,synthetic_only,1.0,0.0,0.1,0,0.0,0.0
identity,synthetic_only,1.0,0.1,0.2,0,0.0,0.0
identity,synthetic_only,1.0,0.2,0.3,0,0.0,0.0
identity,synthetic_only,1.0,0.3,0.4,0,0.0,0.0
identity,synthetic_only,1.0,0.4,0.5,0,0.0,0.0
identity,synthetic_only,1.0,0.5,0.6,0,0.0,0.0
identity,synthetic_only,1.0,0.6,0.7,0,0.0,0.0
identity,synthetic_only,1.0,0.7,0.8,0,0.0,0.0
identity,synthetic_only,1.0,0.8,0.9,0,0.0,0.0
identity,synthetic_only,1.0,0.9,1.0,4959,1.0,0.0
identity,synthetic_plus_real,1.0,0.0,0.1,0,0.0,0.0
identity,synthetic_plus_real,1.0,0.1,0.2,0,0.0,0.0
identity,synthetic_plus_real,1.0,0.2,0.3,0,0.0,0.0
identity,synthetic_plus_real,1.0,0.3,0.4,0,0.0,0.0
identity,synthetic_plus_real,1.0,0.4,0.5,0,0.0,0.0
identity,synthetic_plus_real,1.0,0.5,0.6,0,0.0,0.0
identity,synthetic_plus_real,1.0,0.6,0.7,0,0.0,0.0
identity,synthetic_plus_real,1.0,0.7,0.8,0,0.0,0.0
identity,synthetic_plus_real,1.0,0.8,0.9,0,0.0,0.0
identity,synthetic_plus_real,1.0,0.9,1.0,6391,1.0,0.0
classical,real_only,0.15304,0.0,0.1,1121,0.00091,0.0
classical,real_only,0.15304,0.1,0.2,41,0.15372,0.0
classical,real_only,0.15304,0.2,0.3,26,0.25174,0.0
classical,real_only,0.15304,0.3,0.4,20,0.34281,0.0
classical,real_only,0.15304,0.4,0.5,14,0.45482,0.0
classical,real_only,0.15304,0.5,0.6,17,0.55366,0.0
classical,real_only,0.15304,0.6,0.7,10,0.64275,0.0
classical,real_only,0.15304,0.7,0.8,7,0.75736,0.0
classical,real_only,0.15304,0.8,0.9,9,0.84907,0.0
classical,real_only,0.15304,0.9,1.0,167,0.99563,0.01796
classical,synthetic_only,0.19618,0.0,0.1,3661,0.00122,0.0
classical,synthetic_only,0.19618,0.1,0.2,88,0.14895,0.0
classical,synthetic_only,0.19618,0.2,0.3,85,0.25701,0.0
classical,synthetic_only,0.19618,0.3,0.4,90,0.35674,0.0
classical,synthetic_only,0.19618,0.4,0.5,75,0.45081,0.0
classical,synthetic_only,0.19618,0.5,0.6,72,0.54475,0.0
classical,synthetic_only,0.19618,0.6,0.7,60,0.66024,0.0
classical,synthetic_only,0.19618,0.7,0.8,80,0.73622,0.0
classical,synthetic_only,0.19618,0.8,0.9,41,0.85446,0.0
classical,synthetic_only,0.19618,0.9,1.0,707,0.9968,0.01414
classical,synthetic_plus_real,0.22264,0.0,0.1,4532,0.00139,0.0
classical,synthetic_plus_real,0.22264,0.1,0.2,115,0.15155,0.0
classical,synthetic_plus_real,0.22264,0.2,0.3,102,0.25166,0.0
classical,synthetic_plus_real,0.22264,0.3,0.4,106,0.34506,0.0
classical,synthetic_plus_real,0.22264,0.4,0.5,113,0.45117,0.0
classical,synthetic_plus_real,0.22264,0.5,0.6,92,0.54512,0.0
classical,synthetic_plus_real,0.22264,0.6,0.7,136,0.66037,0.0
classical,synthetic_plus_real,0.22264,0.7,0.8,79,0.74994,0.0
classical,synthetic_plus_real,0.22264,0.8,0.9,77,0.84749,0.0
classical,synthetic_plus_real,0.22264,0.9,1.0,1039,0.99662,0.01347
